                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3825,                 1.6925,                 1.7152,                0.71408,                0.73304,                0.73045,                0.37262,                 1.6457,                 1.1689,                 1.9159,              0.0033277,              0.0033277,              0.0033277
                      2,                 1.2724,                 1.3241,                 1.6085,                0.70957,                0.64405,                0.70673,                0.34931,                 1.7125,                 1.2766,                 1.9869,              0.0065951,              0.0065951,              0.0065951
                      3,                 1.3733,                 1.5023,                 1.7006,                0.54102,                0.52836,                 0.4907,                0.18118,                 2.1152,                 1.8196,                   2.54,              0.0097965,              0.0097965,              0.0097965
                      4,                 1.4519,                 1.6893,                 1.7855,                0.54439,                0.55617,                0.52125,                0.21304,                 1.9161,                 1.7968,                 2.2783,               0.009703,               0.009703,               0.009703
                      5,                 1.4072,                 1.6099,                 1.7535,                0.58511,                0.61624,                0.60755,                0.27679,                 1.8017,                 1.4586,                  2.114,               0.009604,               0.009604,               0.009604
                      6,                 1.3751,                 1.5449,                 1.7139,                0.67952,                 0.6769,                0.71004,                0.32667,                 1.7712,                 1.3827,                 2.0906,               0.009505,               0.009505,               0.009505
                      7,                 1.3353,                 1.4769,                 1.6886,                0.70656,                0.63737,                0.70552,                0.33972,                  1.705,                  1.388,                  2.044,               0.009406,               0.009406,               0.009406
                      8,                  1.319,                 1.4209,                  1.668,                0.69189,                0.74416,                0.75953,                0.36935,                 1.7131,                 1.1985,                 1.9902,               0.009307,               0.009307,               0.009307
                      9,                 1.3004,                 1.3825,                 1.6503,                0.74981,                0.73675,                0.77147,                  0.403,                 1.5356,                 1.1291,                 1.9131,               0.009208,               0.009208,               0.009208
                     10,                 1.2625,                 1.3424,                 1.6232,                0.75105,                0.74527,                 0.7793,                 0.3798,                 1.6799,                 1.1883,                 1.9634,               0.009109,               0.009109,               0.009109
                     11,                 1.2401,                 1.3051,                 1.6037,                0.72433,                0.70438,                0.77648,                0.38757,                 1.6628,                 1.1362,                 1.9574,                0.00901,                0.00901,                0.00901
                     12,                  1.221,                 1.2569,                 1.5825,                0.73096,                0.74949,                0.78805,                0.39703,                 1.6214,                 1.0914,                 1.9452,               0.008911,               0.008911,               0.008911
                     13,                 1.2075,                 1.2219,                  1.564,                0.77285,                0.75751,                0.81501,                0.43708,                  1.535,                 1.0421,                 1.8339,               0.008812,               0.008812,               0.008812
                     14,                 1.1972,                 1.2225,                 1.5646,                0.81232,                 0.7475,                0.82426,                0.44202,                 1.5905,                0.98719,                 1.8886,               0.008713,               0.008713,               0.008713
                     15,                  1.182,                 1.1851,                 1.5459,                0.77905,                0.76752,                0.81455,                0.46395,                 1.4822,                 1.0024,                  1.814,               0.008614,               0.008614,               0.008614
                     16,                 1.1683,                 1.1594,                 1.5348,                0.76862,                0.76752,                0.80016,                  0.411,                 1.5802,                 1.0388,                 1.9036,               0.008515,               0.008515,               0.008515
                     17,                 1.1499,                 1.1393,                 1.5203,                0.80362,                0.79202,                0.84397,                0.45041,                 1.5624,                0.94865,                 1.8637,               0.008416,               0.008416,               0.008416
